,Company Names,Tickers
1101,Procter & Gamble Hygiene and Health Care Limited,PGHH.NS
1102,Procter & Gamble Health Limited,PGHL.NS
1103,Pearl Global Industries Limited,PGIL.NS
1104,Phillips Carbon Black Limited,PHILIPCARB.NS
1105,The Phoenix Mills Limited,PHOENIXLTD.NS
1106,Pidilite Industries Limited,PIDILITIND.NS
1107,PI Industries Limited,PIIND.NS
1108,Pilani Investment and Industries Corporation Limited,PILANIINVS.NS
1109,PIL ITALICA LIFESTYLE LIMITED,PILITA.NS
1110,Pioneer Distilleries Limited,PIONDIST.NS
1111,Pioneer Embroideries Limited,PIONEEREMB.NS
1112,Piramal Phytocare Limited,PIRPHYTO.NS
1113,Pitti Engineering Limited,PITTIENG.NS
1114,The Peria Karamalai Tea & Produce Company Limited,PKTEA.NS
1115,Plastiblends India Limited,PLASTIBLEN.NS
1116,Punjab National Bank,PNB.NS
1117,PNB Gilts Limited,PNBGILTS.NS
1118,PNB Housing Finance Limited,PNBHOUSING.NS
1119,Pritish Nandy Communications Limited,PNC.NS
1120,PNC Infratech Limited,PNCINFRA.NS
1121,Poddar Housing and Development Limited,PODDARHOUS.NS
1122,Poddar Pigments Limited,PODDARMENT.NS
1123,Pokarna Limited,POKARNA.NS
1124,Polycab India Limited,POLYCAB.NS
1125,Poly Medicure Limited,POLYMED.NS
1126,Polyplex Corporation Limited,POLYPLEX.NS
1127,Ponni Sugars (Erode) Limited,PONNIERODE.NS
1128,Power Grid Corporation of India Limited,POWERGRID.NS
1129,Power Mech Projects Limited,POWERMECH.NS
1130,PPAP Automotive Limited,PPAP.NS
1131,Prakash Pipes Limited,PPL.NS
1132,Prabhat Dairy Limited,PRABHAT.NS
1133,Pradip Overseas Limited,PRADIP.NS
1134,Prajay Engineers Syndicate Limited,PRAENG.NS
1135,Praj Industries Limited,PRAJIND.NS
1136,Prakash Industries Limited,PRAKASH.NS
1137,Prakash Steelage Limited,PRAKASHSTL.NS
1138,Praxis Home Retail Limited,PRAXIS.NS
1139,Precision Camshafts Limited,PRECAM.NS
